Dia;Mes;Anio;PM25;PM10;O3;CO;SO2;NO2
1;4;2026;17.28;34.34;26.74;.633;7.47;42.23
2;4;2026;13.42;40.53;13.30;.772;4.33;30.36
3;4;2026;15.53;40.68;30.83;.915;5.16;21.21
4;4;2026;13.85;36.46;37.49;.565;4.64;24.36
5;4;2026;13.92;40.85;21.75;.569;8.93;39.73
6;4;2026;17.36;16.16;21.39;.624;9.04;21.12
7;4;2026;9.97;21.62;40.48;.633;9.49;25.70
8;4;2026;15.98;20.76;22.51;.913;9.58;24.06
9;4;2026;12.52;16.72;19.01;.711;6.44;32.32
10;4;2026;12.52;19.74;32.01;.697;5.28;42.33
11;4;2026;15.25;15.45;46.45;.957;5.57;42.49
12;4;2026;9.71;42.56;18.08;.913;7.47;41.96
13;4;2026;11.98;34.62;45.86;.604;4.22;31.93
14;4;2026;10.04;16.64;12.56;.696;7.29;29.65
15;4;2026;15.45;15.79;15.64;.787;4.03;18.32
16;4;2026;9.21;34.56;46.56;.758;3.04;22.87
17;4;2026;16.33;38.78;19.42;.746;3.24;31.51
18;4;2026;17.19;29.99;40.27;.648;7.40;29.77
19;4;2026;15.44;17.18;28.34;.810;4.55;31.85
20;4;2026;8.73;27.54;45.88;.822;6.34;39.78
21;4;2026;16.48;30.27;25.51;.917;6.72;30.19
22;4;2026;12.77;19.58;18.86;.803;6.55;37.36
23;4;2026;13.66;26.54;31.99;.656;9.35;33.88
24;4;2026;11.96;29.75;42.27;.949;7.62;39.93
25;4;2026;17.78;26.02;27.04;.745;3.34;32.79
26;4;2026;14.85;38.61;24.24;.960;7.88;32.47
27;4;2026;11.12;43.02;36.60;.816;4.28;22.95
28;4;2026;10.76;42.55;27.95;.845;7.57;38.31
29;4;2026;11.82;21.06;46.67;.609;9.60;27.90
30;4;2026;8.75;24.03;39.59;.720;3.92;19.94
