Dia;Mes;Anio;PM25;PM10;O3;CO;SO2;NO2
1;4;2026;15.18;20.84;46.75;.938;6.08;34.59
2;4;2026;10.97;21.65;22.39;.841;4.40;42.28
3;4;2026;9.31;20.80;15.20;.873;5.42;29.79
4;4;2026;12.25;34.12;26.54;.637;5.84;25.61
5;4;2026;9.77;39.70;36.49;.829;8.82;27.87
6;4;2026;12.86;27.69;26.56;.831;3.04;29.60
7;4;2026;14.65;25.37;12.79;.846;3.06;32.11
8;4;2026;10.26;16.04;18.51;.578;4.00;35.12
9;4;2026;16.88;25.88;35.49;.750;6.29;39.90
10;4;2026;12.08;41.10;36.88;.837;3.04;20.10
11;4;2026;8.87;25.37;46.06;.918;8.53;20.97
12;4;2026;16.62;38.23;41.13;.883;3.93;22.47
13;4;2026;17.61;37.15;44.13;.738;8.87;21.49
14;4;2026;19.51;41.53;24.15;.578;6.62;35.23
15;4;2026;12.53;16.72;22.03;.896;3.60;41.43
16;4;2026;11.38;21.13;16.04;.962;8.95;25.98
17;4;2026;9.60;34.60;43.95;.555;7.18;39.42
18;4;2026;13.78;32.08;40.95;.650;4.80;34.51
19;4;2026;14.85;31.06;24.04;.944;4.90;34.97
20;4;2026;18.78;27.02;13.96;.643;3.44;21.70
21;4;2026;9.89;25.27;25.32;.738;7.39;34.92
22;4;2026;16.40;25.93;35.86;.781;3.84;31.65
23;4;2026;12.16;35.28;38.45;.651;5.87;29.37
24;4;2026;11.91;16.22;13.79;.967;7.88;28.97
25;4;2026;16.17;23.07;37.57;.949;8.10;29.63
26;4;2026;19.81;42.66;14.10;.723;5.98;24.85
27;4;2026;15.59;19.30;38.90;.910;3.41;35.30
28;4;2026;11.56;34.15;36.88;.960;8.27;26.47
29;4;2026;16.90;19.40;37.69;.725;4.75;23.96
30;4;2026;10.99;38.89;15.46;.648;4.27;21.95
